latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.534,-70.705,305.8,2.1,1.4,2021-03-31,0325,T,66,6.0NRT,290.9,20.2,N
20.101,-75.709,304.4,1.1,1,2021-03-31,0325,T,60,6.0NRT,292.8,5.8,N
20.598,-76.926,308.4,1,1,2021-03-31,0325,T,74,6.0NRT,293.9,6.5,N
20.686,-77.083,307.8,1,1,2021-03-31,0325,T,72,6.0NRT,292,7.3,N
20.685,-77.093,331.2,1,1,2021-03-31,0325,T,100,6.0NRT,291.6,29.4,N
20.978,-76.707,303.6,1,1,2021-03-31,0325,T,56,6.0NRT,293.6,4.3,N
21.824,-78.839,309.4,1,1,2021-03-31,0325,T,77,6.0NRT,293.8,8.1,N
21.823,-78.849,305.4,1,1,2021-03-31,0325,T,64,6.0NRT,293.9,5.4,N
21.952,-78.221,316.3,1,1,2021-03-31,0325,T,93,6.0NRT,294.9,13,N
21.951,-78.23,305.8,1,1,2021-03-31,0325,T,66,6.0NRT,294.5,5.2,N
22.015,-78.103,305.2,1,1,2021-03-31,0325,T,63,6.0NRT,294.3,4.8,N
22.132,-78.69,306.6,1,1,2021-03-31,0325,T,69,6.0NRT,294.1,5.7,N
22.141,-78.688,305.7,1,1,2021-03-31,0325,T,65,6.0NRT,294.1,5.6,N
22.246,-79.653,303.5,1.1,1,2021-03-31,0325,T,55,6.0NRT,292.6,5.8,N
22.425,-80.16,307.2,1.1,1.1,2021-03-31,0325,T,71,6.0NRT,293.1,7.9,N
25.062,-78.04,312.6,1,1,2021-03-31,0325,T,79,6.0NRT,293.5,9.7,N
25.075,-78.012,308.1,1,1,2021-03-31,0325,T,50,6.0NRT,293.3,5.7,N
27.509,-81.066,302.5,1.1,1,2021-03-31,0325,T,49,6.0NRT,291.2,5.4,N
40.63,-103.324,302,1.3,1.1,2021-03-31,0510,T,46,6.0NRT,267,15.4,N
19.242,-104.642,300.9,1.2,1.1,2021-03-31,0505,T,34,6.0NRT,289.8,5.4,N
20.053,-99.289,301.1,1.2,1.1,2021-03-31,0505,T,38,6.0NRT,288.2,7.9,N
19.478,-104.253,308.9,1.1,1.1,2021-03-31,0505,T,28,6.0NRT,287.3,9.9,N
20.088,-100.419,300.1,1.1,1,2021-03-31,0505,T,12,6.0NRT,288.4,5.1,N
20.087,-100.428,305.6,1.1,1,2021-03-31,0505,T,65,6.0NRT,289.2,8.3,N
20.525,-100.926,302.6,1,1,2021-03-31,0505,T,50,6.0NRT,291.3,5.7,N
21.765,-98.872,311.5,1.3,1.1,2021-03-31,0505,T,83,6.0NRT,292.3,14.9,N
21.805,-99.036,324.8,1.3,1.1,2021-03-31,0505,T,100,6.0NRT,292,33.3,N
21.85,-99.005,316.2,1.3,1.1,2021-03-31,0505,T,93,6.0NRT,292.5,18.7,N
21.85,-98.998,302.8,1.3,1.1,2021-03-31,0505,T,51,6.0NRT,292.5,5.6,N
21.848,-99.01,309.7,1.3,1.1,2021-03-31,0505,T,78,6.0NRT,292.4,12.1,N
21.839,-99.173,310.1,1.3,1.1,2021-03-31,0505,T,79,6.0NRT,292,12.4,N
21.838,-99.185,307.6,1.3,1.1,2021-03-31,0505,T,72,6.0NRT,291.8,10,N
22.298,-99.244,322.9,1.3,1.1,2021-03-31,0505,T,100,6.0NRT,292.5,28.3,N
22.297,-99.256,302.6,1.3,1.1,2021-03-31,0505,T,50,6.0NRT,292.2,5.8,N
22.471,-99.331,321.1,1.3,1.1,2021-03-31,0505,T,100,6.0NRT,292.3,25.6,N
22.105,-103.857,306,1,1,2021-03-31,0505,T,67,6.0NRT,282.1,10.2,N
22.156,-105.082,305.3,1.2,1.1,2021-03-31,0505,T,64,6.0NRT,289.3,8.6,N
22.727,-105.37,304.7,1.2,1.1,2021-03-31,0505,T,61,6.0NRT,289,8,N
22.741,-105.407,302.8,1.2,1.1,2021-03-31,0505,T,52,6.0NRT,290.2,6.5,N
23.044,-104.173,312.6,1,1,2021-03-31,0505,T,85,6.0NRT,282.4,15.3,N
22.865,-105.459,303,1.2,1.1,2021-03-31,0505,T,33,6.0NRT,290.6,5.8,N
22.863,-105.47,310.5,1.2,1.1,2021-03-31,0505,T,58,6.0NRT,291.3,11.3,N
22.861,-105.481,324.4,1.2,1.1,2021-03-31,0505,T,100,6.0NRT,293.4,26.9,N
22.859,-105.493,326.6,1.2,1.1,2021-03-31,0505,T,100,6.0NRT,293.4,30.3,N
22.871,-105.483,316.6,1.2,1.1,2021-03-31,0505,T,94,6.0NRT,292.5,16.9,N
22.869,-105.495,321.1,1.2,1.1,2021-03-31,0505,T,100,6.0NRT,293,22.8,N
